"","team","No.","Pos.","Player","Date of birth (age)","Caps","Club"
"1","Egypt",1,"1GK","Ahmed El Shenawy","(1991-05-14)14 May 1991 (aged 28)",31,"Pyramids"
"2","Egypt",2,"2DF","Baher El Mohamady","(1996-11-01)1 November 1996 (aged 22)",6,"Ismaily"
"3","Egypt",3,"2DF","Ahmed El Mohamady (captain)","(1987-09-09)9 September 1987 (aged 31)",88,"Aston Villa"
"4","Egypt",4,"2DF","Omar Gaber","(1992-01-30)30 January 1992 (aged 27)",24,"Pyramids"
"5","Egypt",5,"3MF","Ali Ghazal","(1992-02-01)1 February 1992 (aged 27)",10,"Feirense"
"6","Egypt",6,"2DF","Ahmed Hegazi","(1991-01-25)25 January 1991 (aged 28)",52,"West Bromwich Albion"
"7","Egypt",7,"3MF","Trézéguet","(1994-10-01)1 October 1994 (aged 24)",37,"Kasimpasa"
"8","Egypt",8,"3MF","Tarek Hamed","(1988-10-24)24 October 1988 (aged 30)",34,"Zamalek"
"9","Egypt",9,"4FW","Marwan Mohsen","(1989-02-26)26 February 1989 (aged 30)",31,"Al Ahly"
"10","Egypt",10,"4FW","Mohamed Salah","(1992-06-15)15 June 1992 (aged 27)",63,"Liverpool"
"11","Egypt",11,"3MF","Walid Soliman","(1984-12-01)1 December 1984 (aged 34)",25,"Al Ahly"
"12","Egypt",12,"2DF","Ayman Ashraf","(1991-04-09)9 April 1991 (aged 28)",11,"Al Ahly"
"13","Egypt",13,"2DF","Ahmed Ayman Mansour","(1994-04-13)13 April 1994 (aged 25)",4,"Pyramids"
"14","Egypt",14,"4FW","Ahmed Ali","(1986-05-21)21 May 1986 (aged 33)",9,"Al Mokawloon Al Arab"
"15","Egypt",15,"2DF","Mahmoud Hamdy","(1995-06-01)1 June 1995 (aged 24)",2,"Zamalek"
"16","Egypt",16,"1GK","Mohamed El Shenawy","(1988-12-18)18 December 1988 (aged 30)",10,"Al Ahly"
"17","Egypt",17,"3MF","Mohamed El Neny","(1992-07-11)11 July 1992 (aged 26)",72,"Arsenal"
"18","Egypt",18,"4FW","Ahmed Hassan Kouka","(1993-03-05)5 March 1993 (aged 26)",21,"Olympiacos"
"19","Egypt",19,"3MF","Abdallah El Said","(1985-07-13)13 July 1985 (aged 33)",43,"Pyramids"
"20","Egypt",20,"2DF","Mahmoud Alaa","(1991-01-28)28 January 1991 (aged 28)",4,"Zamalek"
"21","Egypt",21,"3MF","Nabil Emad","(1996-04-06)6 April 1996 (aged 23)",4,"Pyramids"
"22","Egypt",22,"3MF","Amr Warda","(1993-09-17)17 September 1993 (aged 25)",28,"Atromitos"
"23","Egypt",23,"1GK","Mahmoud Genesh","(1987-05-25)25 May 1987 (aged 32)",2,"Zamalek"
"24","DR Congo",1,"1GK","Ley Matampi","(1989-04-18)18 April 1989 (aged 30)",34,"Al Ansar"
"25","DR Congo",2,"2DF","Issama Mpeko","(1989-04-30)30 April 1989 (aged 30)",64,"TP Mazembe"
"26","DR Congo",3,"2DF","Ngonda Muzinga","(1993-12-31)31 December 1993 (aged 25)",11,"AS Vita Club"
"27","DR Congo",4,"2DF","Bobo Ungenda","(1989-11-19)19 November 1989 (aged 29)",12,"1º de Agosto"
"28","DR Congo",5,"2DF","Marcel Tisserand","(1993-01-10)10 January 1993 (aged 26)",16,"VfL Wolfsburg"
"29","DR Congo",6,"3MF","Chadrac Akolo","(1995-01-01)1 January 1995 (aged 24)",5,"VfB Stuttgart"
"30","DR Congo",7,"3MF","Youssouf Mulumbu (captain)","(1987-01-25)25 January 1987 (aged 32)",39,"Kilmarnock"
"31","DR Congo",8,"3MF","Trésor Mputu","(1985-09-17)17 September 1985 (aged 33)",47,"TP Mazembe"
"32","DR Congo",9,"4FW","Jonathan Bolingi","(1994-06-30)30 June 1994 (aged 24)",23,"Antwerp"
"33","DR Congo",10,"3MF","Paul-José M'Poku","(1992-04-19)19 April 1992 (aged 27)",13,"Standard Liège"
"34","DR Congo",11,"4FW","Yannick Bolasie","(1989-06-24)24 June 1989 (aged 29)",37,"Anderlecht"
"35","DR Congo",12,"2DF","Wilfred Moke","(1988-02-12)12 February 1988 (aged 31)",6,"Ankaragücü"
"36","DR Congo",13,"4FW","Meschak Elia","(1997-08-06)6 August 1997 (aged 21)",18,"TP Mazembe"
"37","DR Congo",14,"2DF","Arthur Masuaku","(1993-11-07)7 November 1993 (aged 25)",3,"West Ham United"
"38","DR Congo",15,"2DF","Christian Luyindama","(1994-01-08)8 January 1994 (aged 25)",9,"Galatasaray"
"39","DR Congo",16,"1GK","Anthony Mossi","(1994-05-15)15 May 1994 (aged 25)",5,"Chiasso"
"40","DR Congo",17,"4FW","Cédric Bakambu","(1991-04-11)11 April 1991 (aged 28)",20,"Beijing Sinobo Guoan"
"41","DR Congo",18,"3MF","Merveille Bokadi","(1996-05-21)21 May 1996 (aged 23)",20,"Standard Liège"
"42","DR Congo",19,"4FW","Britt Assombalonga","(1992-12-06)6 December 1992 (aged 26)",4,"Middlesbrough"
"43","DR Congo",20,"3MF","Jacques Maghoma","(1987-10-23)23 October 1987 (aged 31)",21,"Birmingham City"
"44","DR Congo",21,"2DF","Djuma Shabani","(1993-03-16)16 March 1993 (aged 26)",1,"AS Vita Club"
"45","DR Congo",22,"2DF","Chancel Mbemba","(1994-08-08)8 August 1994 (aged 24)",46,"Porto"
"46","DR Congo",23,"1GK","Parfait Mandanda","(1989-11-10)10 November 1989 (aged 29)",15,"Dinamo Bucure<U+0219>ti"
"47","Uganda",1,"1GK","Robert Odongkara","(1989-09-02)2 September 1989 (aged 29)",28,"Adama City"
"48","Uganda",2,"2DF","Joseph Ochaya","(1993-12-14)14 December 1993 (aged 25)",46,"TP Mazembe"
"49","Uganda",3,"2DF","Timothy Awany","(1996-08-06)6 August 1996 (aged 22)",21,"KCCA"
"50","Uganda",4,"2DF","Murushid Juuko","(1994-04-14)14 April 1994 (aged 25)",33,"Simba"
"51","Uganda",5,"2DF","Bevis Mugabi","(1995-05-01)1 May 1995 (aged 24)",4,"Yeovil Town"
"52","Uganda",6,"3MF","Taddeo Lwanga","(1994-05-21)21 May 1994 (aged 25)",11,"Vipers"
"53","Uganda",7,"4FW","Emmanuel Okwi","(1992-12-25)25 December 1992 (aged 26)",63,"Simba"
"54","Uganda",8,"3MF","Khalid Aucho","(1993-08-08)8 August 1993 (aged 25)",41,"Churchill Brothers"
"55","Uganda",9,"4FW","Patrick Kaddu","(1995-10-09)9 October 1995 (aged 23)",8,"KCCA"
"56","Uganda",10,"3MF","Luwagga Kizito","(1993-12-20)20 December 1993 (aged 25)",37,"Shakhter Karagandy"
"57","Uganda",11,"4FW","Derrick Nsibambi","(1994-06-19)19 June 1994 (aged 25)",18,"Smouha"
"58","Uganda",12,"2DF","Ronald Mukiibi","(1991-09-16)16 September 1991 (aged 27)",1,"Östersunds FK"
"59","Uganda",13,"3MF","Allan Kateregga","(1994-06-03)3 June 1994 (aged 25)",7,"Maritzburg United"
"60","Uganda",14,"2DF","Nicholas Wadada","(1994-07-27)27 July 1994 (aged 24)",50,"Azam"
"61","Uganda",15,"2DF","Godfrey Walusimbi","(1989-07-03)3 July 1989 (aged 29)",91,"Unattached"
"62","Uganda",16,"3MF","Hassan Wasswa","(1988-02-14)14 February 1988 (aged 31)",70,"Unattached"
"63","Uganda",17,"3MF","Farouk Miya","(1997-11-26)26 November 1997 (aged 21)",52,"Gorica"
"64","Uganda",18,"1GK","Denis Onyango (captain)","(1985-05-15)15 May 1985 (aged 34)",71,"Mamelodi Sundowns"
"65","Uganda",19,"1GK","Jamal Salim","(1995-05-27)27 May 1995 (aged 24)",6,"Al Hilal"
"66","Uganda",20,"2DF","Isaac Muleme","(1992-10-10)10 October 1992 (aged 26)",34,"Viktoria Žižkov"
"67","Uganda",21,"3MF","Allan Kyambadde","(1996-01-15)15 January 1996 (aged 23)",14,"KCCA"
"68","Uganda",22,"4FW","Lumala Abdu","(1997-07-21)21 July 1997 (aged 21)",2,"Syrianska FC"
"69","Uganda",23,"3MF","Micheal Azira","(1987-08-22)22 August 1987 (aged 31)",6,"Montreal Impact"
"70","Zimbabwe",1,"1GK","Edmore Sibanda","(1987-01-02)2 January 1987 (aged 32)",13,"Witbank Spurs"
"71","Zimbabwe",2,"2DF","Tendayi Darikwa","(1991-12-13)13 December 1991 (aged 27)",7,"Nottingham Forest"
"72","Zimbabwe",3,"3MF","Danny Phiri","(1989-04-22)22 April 1989 (aged 30)",38,"Lamontville Golden Arrows"
"73","Zimbabwe",4,"2DF","Ronald Pfumbidzai","(1994-12-25)25 December 1994 (aged 24)",14,"Bloemfontein Celtic"
"74","Zimbabwe",5,"2DF","Divine Lunga","(1995-05-28)28 May 1995 (aged 24)",9,"Lamontville Golden Arrows"
"75","Zimbabwe",6,"3MF","Alec Mudimu","(1995-04-08)8 April 1995 (aged 24)",12,"Cefn Druids"
"76","Zimbabwe",7,"4FW","Talent Chawapiwa","(1992-06-03)3 June 1992 (aged 27)",25,"AmaZulu"
"77","Zimbabwe",8,"3MF","Marshall Munetsi","(1996-06-22)22 June 1996 (aged 22)",12,"Orlando Pirates"
"78","Zimbabwe",9,"4FW","Evans Rusike","(1991-06-13)13 June 1991 (aged 28)",21,"SuperSport United"
"79","Zimbabwe",10,"3MF","Ovidy Karuru","(1989-01-23)23 January 1989 (aged 30)",35,"AmaZulu"
"80","Zimbabwe",11,"3MF","Khama Billiat","(1990-08-19)19 August 1990 (aged 28)",37,"Kaizer Chiefs"
